source;target;redirect_type
/category/accessibilite/;/category/ux-product-design/;301
/category/agile/;/category/web-development/;301
/category/ai/;/category/ai-machine-learning/;301
/category/analyse/;/category/data-analytics/;301
/category/android/;/category/mobile-devices/;301
/category/api/;/category/apis-integration/;301
/category/applications-et-web-applications/;/category/web-development/;301
/category/astuce-du-jour-logiciel/;/category/tutorials-how-to/;301
/category/audiovisuel/;/category/multimedia-video/;301
/category/auteurs/;/category/journalism-writing/;301
/category/autres/;/category/miscellaneous-other/;301
/category/big-data/;/category/data-analytics/;301
/category/bigdata/;/category/data-analytics/;301
/category/cloud/;/category/cloud-infrastructure/;301
/category/cms/;/category/wordpress-cms/;301
/category/3-configuration-dune-sequence/;/category/3wdoc-tutorials/;301
/category/creation-de-site-web/;/category/web-development/;301
/category/css3/;/category/web-design-front-end/;301
/category/demos/;/category/tutorials-how-to/;301
/category/developpement-digital/;/category/web-development/;301
/category/divers/;/category/miscellaneous-other/;301
/category/drupal/;/category/wordpress-cms/;301
/category/ecommerce/;/category/seo-web-marketing/;301
/category/ecriture/;/category/journalism-writing/;301
/category/0-saas-etudes-de-cas/;/category/business-case-studies/;301
/category/experiences/;/category/digital-storytelling-webdocs/;301
/category/flash-actionscript-flex/;/category/web-development/;301
/category/flex/;/category/web-development/;301
/category/framework/;/category/web-development/;301
/category/2-saas-gestion-dun-projet/;/category/3wdoc-tutorials/;301
/category/3-saas-gestion-dune-sequence/;/category/3wdoc-tutorials/;301
/category/6-gestion-de-laudio/;/category/3wdoc-tutorials/;301
/category/8-gestion-des-boutons-et-des-actions/;/category/3wdoc-tutorials/;301
/category/8-saas-gestion-des-effets/;/category/3wdoc-tutorials/;301
/category/9-saas-gestion-des-evenements/;/category/3wdoc-tutorials/;301
/category/4-saas-gestion-des-images/;/category/3wdoc-tutorials/;301
/category/91-saas-gestion-des-medias-13/;/category/3wdoc-tutorials/;301
/category/6-saas-gestion-des-sons/;/category/3wdoc-tutorials/;301
/category/5-gestion-des-textes/;/category/3wdoc-tutorials/;301
/category/5-saas-gestion-des-videos/;/category/3wdoc-tutorials/;301
/category/92-saas-gestion-du-style/;/category/3wdoc-tutorials/;301
/category/google/;/category/tools-productivity/;301
/category/hbbtv-connected-tv/;/category/multimedia-video/;301
/category/hebergement/;/category/cloud-infrastructure/;301
/category/html5/;/category/web-design-front-end/;301
/category/image-graphisme-photoshop/;/category/web-design-front-end/;301
/category/information/;/category/journalism-writing/;301
/category/interactif/;/category/digital-storytelling-webdocs/;301
/category/ios/;/category/mobile-devices/;301
/category/iphone-mobile/;/category/mobile-devices/;301
/category/javascript-ajax/;/category/web-development/;301
/category/joomla-virtuemart/;/category/wordpress-cms/;301
/category/journalisme/;/category/journalism-writing/;301
/category/jquery/;/category/web-development/;301
/category/json-2/;/category/apis-integration/;301
/category/2-lencodage-des-medias/;/category/3wdoc-tutorials/;301
/category/linux-apache/;/category/cloud-infrastructure/;301
/category/mac/;/category/tools-productivity/;301
/category/marketing-web/;/category/seo-web-marketing/;301
/category/meilleurs-blogs/;/category/technology-trends/;301
/category/1-saas-mon-compte/;/category/3wdoc-tutorials/;301
/category/1-mon-compte-sur-3wdoc/;/category/3wdoc-tutorials/;301
/category/mysql/;/category/programming-databases/;301
/category/narration/;/category/digital-storytelling-webdocs/;301
/category/nlp/;/category/ai-machine-learning/;301
/category/non-classe/;/category/miscellaneous-other/;301
/category/nos-derniers-wdoc/;/category/3wdoc-tutorials/;301
/category/0-saas-notions-de-base/;/category/3wdoc-tutorials/;301
/category/photo/;/category/web-design-front-end/;301
/category/php-mysql/;/category/programming-databases/;301
/category/presse-et-revue-de-presse/;/category/journalism-writing/;301
/category/93-publication/;/category/tutorials-how-to/;301
/category/python/;/category/programming-databases/;301
/category/referencement-seo/;/category/seo-web-marketing/;301
/category/reseaux-sociaux/;/category/social-media-community/;301
/category/ruby-on-rails/;/category/web-development/;301
/category/saas/;/category/cloud-infrastructure/;301
/category/social-tv/;/category/social-media-community/;301
/category/statistiques-et-tracking/;/category/data-analytics/;301
/category/storytelling-digital/;/category/digital-storytelling-webdocs/;301
/category/9-style/;/category/web-design-front-end/;301
/category/technique/;/category/technology-trends/;301
/category/technologie/;/category/technology-trends/;301
/category/telecommuting/;/category/business-case-studies/;301
/category/teleworking/;/category/business-case-studies/;301
/category/tutoriaux/;/category/tutorials-how-to/;301
/category/tutoriels/;/category/tutorials-how-to/;301
/category/tutorials-saas/;/category/tutorials-how-to/;301
/category/tv-connectee-social-tv/;/category/multimedia-video/;301
/category/ux-experience-utilisateur/;/category/ux-product-design/;301
/category/video/;/category/multimedia-video/;301
/category/webdesign-responsive-agile/;/category/web-design-front-end/;301
/category/webdoc/;/category/digital-storytelling-webdocs/;301
/category/webdocumentaire-digital-storytelling/;/category/digital-storytelling-webdocs/;301
/category/webfiction/;/category/digital-storytelling-webdocs/;301
/category/webgl/;/category/web-development/;301
/category/widget-gadget/;/category/mobile-devices/;301
/category/wireframe-mock-up/;/category/web-design-front-end/;301
/category/wordpress/;/category/wordpress-cms/;301
/category/xhtml-css/;/category/web-design-front-end/;301
