uid,id,stars,review,sentiment,type,filename,url
0,1763,1,"This is one of the worst movies ever made. Trite. Predictable. Flat.<br /><br />The only thing that rated one point was there was a few nice scenes highlighting Barcelona. I imagine they would use films like this in Guantanamo or some other hidden CIA/NSA prison to torture suspects.<br /><br />Often bad movies have some redeeming features, this has nothing. If I was in it or worked on it, I would change my name. Truly a turd. Hard to write more than this, but I feel the world's film watchers needed a head's up on this. On the other hand it will make a great gift for people you can't stand.<br /><br />You could send it to politicians you dislike, in laws, ex-wives, Teachers you hated, former employees, Dick Cheney, W., and a host of others.",Negative,Train,./train/neg/1763_1.txt,http://www.imdb.com/title/tt0375560/usercomments
1,11803,3,"When someone remakes a classic movie, the remake is always unfavorably compared to the original. Also, there's a chance that the remake is so radically different that it is just too unfamiliar to audiences.<br /><br />Well, the 1973 TV version of ""Double Indemnity"" has almost identical scenes and dialogue as the 1944 original. The main difference is that the remake just seems to have no energy at all. Fred MacMurray was great as the lecherous, leering insurance agent Walter Neff in the original; Richard Crenna just seems world-weary and tired. Edward G. Robinson brought great manic energy to his role as MacMurray's boss Barton Keys; Lee J. Cobb, a fine actor, appears almost bored with the proceedings. Samantha Eggar is all wrong as the conniving, back-stabbing Phyllis Dietrichson; while Barbara Stanwyck was just superb in this wicked role, Eggar is overly polite and mannered and just seems way out of place.<br /><br />Robert Webber, in the old Richard Gaines role as Robinson's boss Norton, and John Fiedler taking the Porter Hall role as the crucial witness, bring some life to the movie. In particular, Webber recreates the Norton role well in a 1970s context.<br /><br />However, after the movie starts, the whole thing just sort of lies there, without any life or electricity. This is one film that never should have been remade.",Negative,Train,./train/neg/11803_3.txt,http://www.imdb.com/title/tt0070000/usercomments
2,2897,10,"Legendary movie producer Walt Disney brought three of the world's greatest fairy tales to the screen. They remain among the most popular animated films of all time. The first was his groundbreaking classic ""Snow White and the Seven Dwarfs"" released in 1937. The last was the then-under appreciated ""Sleeping Beauty"" which made it's debut in 1959. In between these two was perhaps his most satisfying adaptation of a classic fairy tale: ""Cinderella"" (1950). Of the three films, ""Cinderella"" is the one most faithful to its origins. Ironically, unlike ""Snow White"", which for better or worse, became for many the definitive version of the story. ""Cinderella"" did not follow the same path. Although it was a hit and, like ""Snow White"", was responsible for restoring the dwindling Disney fortunes, it never achieved the same audience recognition which it certainly deserved. Disney, for once, did himself proud, electing not to tamper with a classic, instead elaborating and adding substance to the tale, rather than rewriting it for the screen. The result was enchanting. <br /><br />A combination of superb animation (in beautifully soft Technicolor) and the perfect voice talents brought the story to life with a radiance that endures to this day. Ilene Woods, who was a radio performer, recorded demonstration discs of the songs as a favor to the authors of the material, Al Hoffman, Mack David, and Jerry Livingston. When Disney heard them, he knew he had found his Cinderella. And indeed he had. Woods heartfelt renditions of ""A Dream Is A Wish Your Heart Makes"", ""So This Is Love"" and ""Oh Sing Sweet Nightingale"" are perfect. Eleanor Audley, who would go on to voice Maleficent in ""Sleeping Beauty"", masterfully captured the icy cruelty of the stepmother, while Rhoda Williams and Lucille Bliss were convincingly nasty stepsisters. Luis Van Rooten admirably performed as both the King and the Grand Duke, and James Macdonald was endearing as both Jaq and Gus, Cinderella's devoted mice. William Phipps has little dialog as the prince (future talk show host Mike Douglas provided his singing voice) but film (and Disney) veteran, Verna Felton was born to play the fairy godmother, and she made the best number, (the Oscar-nominated ""Bibbidi-Bobbidi-Boo"") her own show-stopper. <br /><br />Among the artists responsible for the ""look"" of the film, was Mary Blair, whose inspired use of color was greatly admired by Disney. Her elegant French-period backgrounds add tremendously to the quality of the movie. But, most important of all' are the believable characters--from Cinderella, right down to Lucifer, the stepmother's deliciously evil cat. They bring both life and vibrancy to the often told story, something very difficult to create in an animated film.<br /><br />In conjunction with the film's 55-year anniversary, (and, not so coincidentally, the coming holiday season) ""Cinderella"" has just been released on a special edition DVD. It simply has never looked better. The fully restored film must be seen to be appreciated--suffice it to say, it looks wonderful. An enhanced stereo soundtrack has been added, and serves the music well. The DVD extras, now a standard part of Disney Platinum Editions, are too numerous to list here, but as usual, some are directed towards children, some are slanted to adults, and the rest fall somewhere in between. But real fans will want to get the Deluxe Gift Set, because, along with an actual cell from the film and eight character sketches, it includes a 160-page hardback book, which not only incorporates most of the material found in the book with the 1995 special edition home video release, but much more as well. As usual for Disney, ""Cinderella"" will only be available for a limited time. So, if like me, you are a ""Cinderella"" lover, get it NOW! This edition is truly a ""Dream Come True.""",Positive,Train,./train/pos/2897_10.txt,http://www.imdb.com/title/tt0042332/usercomments
3,233,1,"This film is a calculated attempt to cash in the success of Sex in the City and Four Weddings and a Funeral. In fact, if they'd called it Sex at a Funeral, they might have done better at the box office.<br /><br />But the film falls between two stools and can't get up. The characters spout improbably bright dialog, but never act in any way remotely recognizable as human. One arbitrary, senseless action follows another to advance what passes for a plot, and one soon tires of the falsity of the whole enterprise.<br /><br />Andie MacDowell gets points for acting her little heart out, but the performing honors are stolen by Imelda Staunton, as of all things, a police detective (don't they have a height requirement over there?). Ms. Staunton seems unable to make a false move. Would that we could say the same about the writer-director.<br /><br />If Notting Hill annoyed you as being bogus, stay away from this one. Phonus bolognus on the half-shell.",Negative,Train,./train/neg/233_1.txt,http://www.imdb.com/title/tt0245407/usercomments
4,8915,1,"My comments on this movie have been deleted twice, which i find pretty offending, since i am making an effort to judge this movie for other people. Please be tolerant of other people's opinion. Obviously writing in the spirit of Nietzsches works is not understood, so ill change my comment completely.<br /><br />I think this is a really bad movie for several reasons.<br /><br />Subject: one should be very careful in making a movie about a philosopher that is even today not understood by the masses and amongst peers brings out passionate discussions. One thing philosophers do agree on is that Nietzsche was a great thinker. So making a movie about his life, which obviously includes his 'ideas' is a thing one should be extremely careful with, or preferably, don't do at all. Wisdom starts with knowing what you don't know. One might think this is not a review of the movie itself, but the movie is not about an imaginary character, it is about the life of someone who actually lived and had/has great influence on the world of yesterday, today and tomorrow. If someone tells a story about a tomato, i can express my thoughts about the story itself, but also about the chosen subject, the tomato. There is a responsibility for producers when they make a movie about actual facts. Specially in a case like this and this responsibility was not taken.<br /><br />Screenplay: One of the first things i noticed were the ridiculous accents. Why? It distracts from what it should be about; Nietzsche and the truths he found. It doesn't help putting things in a right geographical perspective or time! Come on, make it proper English or better yet; German! Even Mel Gibson got that part right... letting his characters speak some gibberish Aramaic in the Passion.<br /><br />Secondly, it is well over-acted.<br /><br />3d, Assante is not an actor to depict Nietzsche. Bad casting.<br /><br />4th, facts are way off.<br /><br />And so on. Its a waste of celluloid.",Negative,Train,./train/neg/8915_1.txt,http://www.imdb.com/title/tt0760188/usercomments
5,1665,3,"It was a decent movie, I actually kind of enjoyed it. But the ending is so abrupt!! There is absolutely no closure and it leaves tons of loose ends. What happens after the concert? What happens with her boyfriend? Does she hook up with Grant? Does she come beck in the next semester? And what about Angela? Obviously Holly's performance would knock Angela down a few pegs, but nothing is shown to indicate how she reacts. There is so much left up in the air and it's very unsatisfying. I don't know if it is trying to leave room for a sequel or something, but it is a terrible ending and I think that it really makes the movie a joke. I was very disappointed.",Negative,Train,./train/neg/1665_3.txt,http://www.imdb.com/title/tt0403118/usercomments
6,4868,4,At first i thought that it was just about Eddie Murphy talking to some stupid animals. I was right. Some people called this movie Eddie Murphy's comeback! Who are these people? Jesus if this is the best he can come up with he can just stay away. What was the story again? I was so annoyed by all the lame jokes i forgot. I should have walked out on this one.,Negative,Train,./train/neg/4868_4.txt,http://www.imdb.com/title/tt0118998/usercomments
7,5696,8,"What do you do with a 14-inch cocked porn star who was involved in drugs and murder, and then died of AIDS? You make a movie, of course. The probable reason why it wasn't made earlier is the fact that Eddie Nash would have been in the way of its production. So it's no coincidence that the film was made just a little while after Nash was sent to prison.<br /><br />The best thing about the movie is its quick pace. There is no time wasted on unnecessary crap. And why would it be? There is too much good material here to require dull filler scenes.The cast is good. Kilmer has been mediocre in a string of movies, so here was finally a role quite suitable for him. Bosworth is cute so it's irrelevant how she acts (she's solid), and McDermott, who is otherwise quite annoying, is rather good, to a large extent because he is wearing so much facial hair that I didn't recognize him at first. (I wish they did that to Cruise in every movie so I wouldn't have to watch his dumb face.) I utterly failed to recognize Christina Applegate, and wouldn't have known she was in it, had I not seen her name in the end-credits. Kudrow is charming as ever, a bit unusual to see her in a dramatic role. (Btw, ""Friends"" is the worst TV sitcom of all time.) The only casting choices that were questionable were an early near-cameo by Carrie Fischer and the totally absurd inclusion of the 90s moron Janeane Garofalo. You thought I'd include Paris Hilton, too, didn't you? No, I think Hilton is the ideal choice in her 10-second appearance as a dumb whore. Because the film is about decadence, among other things  and about a porn actor  she fits in perfectly.",Positive,Train,./train/pos/5696_8.txt,http://www.imdb.com/title/tt0335563/usercomments
8,9639,4,"Occasionally one is served a new entrée from foreign films. That is their great attraction. They take from life and serve it up raw. American films, rarely dare to touch the forbidden subjects of society. Too many hang-ups and a morbid fear of financial failure. The Almighty dollar, determines their selections. Something which invites European directors. In addition, audiences world wide remain hungry for ""different"" films, especially those which offer a savory bite out of the wretched, suffering body of humanity. Despite the fear of directors or producers, many audiences yearn for beauty, poetry, and the pristine flavor of life. That is what the film ""To the Left of the Father"" offers to curious audiences. A family locked in the belief that unity of family stems from the unity of it's obedience to tradition. Yet when the patriarch of a family forgets it's members are flesh and blood humans, filled with raging, unbridled dreams and dark passions, then the two are set in motions against itself. Selton Mello plays André a son who seeks to control his inner passions with the stagnant philosophy of his father. Raul Cortez plays his Father. Simone Spoladore is Ana a young woman who seeks to quench a forbidden thirst from the family waters. Leonardo Medeiros is Pedro, the elder brother. The film offers much, but does takes an extremely inordinate amount of time to say it. ***",Negative,Train,./train/neg/9639_4.txt,http://www.imdb.com/title/tt0241663/usercomments
9,3774,3,"This film is stale, and misses the mark. It is far off compared to the 89 Batman that it tries to coppy. That women singer whats her name can not act, and we see why her film carrier died. Notice how this film died in the box office no one see this film on tv either. My uncle and dad were expecting Batman, and the films impression is more like Cop Rock. Not worth renting 3/10",Negative,Train,./train/neg/3774_3.txt,http://www.imdb.com/title/tt0099422/usercomments
10,7050,7,"I don't want to spend to long here rambling about the plot- you've seen the trailer, and if you haven't its online. I don't recommend seeing it though- it was poorly crafted and didn't pack any of the laughs or magic from the film. So those avoiding this film due to its lousy trailer should give this one a chance. It's really funny. I was blown away by the cleverness and originality in this film. The first 40 minutes had me on the floor in hysterics- my only problem was that it unnecessarily evolved into a bad Austin Powers film in the final 20. This however, is one of the few films where the campy ending didn't make me dislike the rest of the film (which is normally the case). Everyone gives a great performance (especially Joan Cusack) and there are some really great moments throughout. I personally plan on seeing it again when it comes out- only to catch all the details which I was laughing over during the first viewing!",Positive,Train,./train/pos/7050_7.txt,http://www.imdb.com/title/tt0884321/usercomments
11,11308,9,"TCM is keeping me awake all the time... they keep coming up with films Ive never heard of ... Senso.... now Ossessione... a very early film by Visconti!!... wow... the Italian version of The Postman Always Rings Twice...brilliant!! beautifully acted and directed ...Never heard of either leads who were excellent, Clara Calamai,as Giovanna, and especially, Massimo Girotti as Gino... what a sensual man !! more muscular and attractive than anyone else on the screen in 1943!!! His look was ahead of its time...many male stars from the 1950s were probably inspired by him... he should have been a major world wide star!! The film is much better than the Jack Nicholson/Jessica Lange version and less glossier than the MGM version (which I really like) with John Garfield and Lana Turner remember that white outfit ? who can forget.... This Italian version is different ..more realistic and with a very different ending... see it watch it...Im going to buy it !!",Positive,Train,./train/pos/11308_9.txt,http://www.imdb.com/title/tt0035160/usercomments
12,10611,8,"What another reviewer called lack of character development, I call understatement. The movie didn't bash one over the head with overexplanation or unnecessary backstory. Yes, there were many untold stories that we only got a glimpse of, but this was primarily a one-day snapshot into an event that catalyzed change in all of the characters' lives. Henry Thomas's performance was a really lovely study in the power of acting that focuses on reaction rather than action. Good rental.",Positive,Train,./train/pos/10611_8.txt,http://www.imdb.com/title/tt0155723/usercomments
13,8326,7,"While Fred Schepisi's ""I.Q."" doesn't really have any important qualities, it's still worth seeing. Walter Matthau plays Albert Einstein, trying to help mechanic Ed Walters (Tim Robbins) fall in love with Princeton mathematics doctoral candidate Catherine Boyd (Meg Ryan). Probably the funniest scene is when Dr. Frizzyhead and friends (Lou Jacobi, Gene Saks and Joseph Maher) try to make Ed look like a scientist: he ends up looking like a French impressionist.<br /><br />Obviously little of the movie is historically accurate, but that's not the point. It's not intended as anything except a light comedy, quite the opposite of Robbins's most famous movie from 1994 (The Shawshank Redemption). A movie about Einstein's whole life would have to focus not only on his scientific achievements, but also his political activism, namely how he wrote a letter on behalf of the Scottsboro Nine and came out against nuclear weapons (it got to the point where the FBI kept a file on him).<br /><br />So anyway, this one is acceptable. Also starring Stephen Fry, Tony Shalhoub, Frank Whaley, Charles Durning and Keene Curtis.",Positive,Train,./train/pos/8326_7.txt,http://www.imdb.com/title/tt0110099/usercomments
14,9831,8,"We have high expectations with this one . . . because its Zombi 3 the official sequel to Zombi 2 and directed by Lucio Fulci . . . however . . . its co-directed by Bruno Mattei (from Night of the Zombies) and not written by Dardino Sachetti but by Claudio Fagrasso (Night of the Zombies) and its shot in the Phillimines like Night of the Zombies and resembles Night of the Zombies (Hell of the Living Dead) a lot. as a result its more like a companion to Hell of the Living Dead than Zombi 2. Fabrazio DeAngelis who produced Zombi 2 and its editor Tomassi (?) and efx gianetto De Rossi gave Zombi 2 its magic . . . Zombi 3 is not magical . . . its like a peanut butter and jelly sandwich without the peanut-butter. But over the years, I've grown to accept Zombi 3. I could swear I saw a version where a soldier was bitten on the arm and went to the hotel room . . . there was a senseless Fulci-cut and the Mattei/Fulci-cut is the one on DVD.",Positive,Train,./train/pos/9831_8.txt,http://www.imdb.com/title/tt0096511/usercomments
